GAP ANALYSIS SUMMARY — AL, AR, CA, DE, KS, MD, MI, MN, MO, NC, PA, TX, VA, WA
Generated against: Alabama Sentencing Commission Presumptive Manual 2024, Arkansas Sentencing Commission Benchbook 2026, California CALCRIM 2026 (Judicial Council Jury Instructions), Delaware SENTAC Benchbook 2025, KS Sentencing Commission 2013, Maryland MSCCSP Offense Table Jan 2026, MI Sentencing Guidelines Oct 2024, Minnesota Sentencing Guidelines Aug 2025, MO Charge Code Manual Feb 2026, NC Combined Offense List Dec 2025, PA Commission on Sentencing 8th Edition 2024, Texas Legislative Council Felony Offenses 2018, Virginia Crime Code System FY17, Washington Adult Sentencing Manual Oct 2025

======================================================================
AL
======================================================================
Our entries:            129
Authoritative entries:  87
Matched:                40 (31%)
Unmatched (phantom?):   89
Missing from ours:      45
Citation mismatches:    22

UNMATCHED — charges we have with no authoritative match:
  [F] Vehicular Homicide                                 | Ala. Code § 32-5A-192 | confidence: needs_review
  [M] Petty Theft                                        | Del. Code Ann. tit. 11, § 841 | confidence: medium
  [M] Theft by Receiving                                 | Del. Code Ann. tit. 11, § 851 | confidence: medium
  [F] Embezzlement                                       | Del. Code Ann. tit. 11, § 845 | confidence: medium
  [F] Carjacking                                         | 11 Del. C. § 831 | confidence: medium
  [M] Possession of Controlled Substance                 | Del. Code Ann. tit. 16 § 4753 | confidence: medium
  [F] Possession with Intent to Distribute               | Del. Code Ann. tit. 16 § 4752 | confidence: needs_review
  [F] Distribution of Controlled Substance               | Del. Code Ann. tit. 16, § 4751 | confidence: needs_review
  [F] Manufacturing Controlled Substance                 | Del. Code Ann. tit. 16, § 4752 | confidence: needs_review
  [F] Drug Trafficking                                   | Del. Code Ann. tit. 16 § 4753A | confidence: needs_review
  [M] Unlawful Carrying of Weapon                        | Del. Code Ann. tit. 11, § 1442 | confidence: medium
  [F] Discharge of Firearm in City                       | Del. Code Ann. tit. 11, § 1444 | confidence: medium
  [F] Possession of Prohibited Weapon                    | Del. Code Ann. tit. 11, § 1446 | confidence: medium
  [F] Wire Fraud                                         | Del. Code Ann. tit. 11, § 843 | confidence: medium
  [F] Mail Fraud                                         | Del. Code Ann. tit. 11, § 903 | confidence: medium
  [F] Check Fraud                                        | Del. Code Ann. tit. 11, § 900 | confidence: medium
  [F] Tax Fraud                                          | Del. Code Ann. tit. 30, § 536 | confidence: medium
  [F] Computer Fraud                                     | Del. Code Ann. tit. 11, § 932 | confidence: medium
  [M] Disorderly Conduct                                 | Del. Code Ann. tit. 11, § 1301 | confidence: medium
  [M] Public Intoxication                                | Del. Code Ann. tit. 11, § 1315 | confidence: medium
  [M] Disturbing the Peace                               | Del. Code Ann. tit. 11, § 1301 | confidence: medium
  [M] Trespassing                                        | Del. Code Ann. tit. 11, § 821 | confidence: medium
  [M] Vandalism                                          | Del. Code Ann. tit. 11 § 811 | confidence: medium
  [M] Loitering                                          | Del. Code Ann. tit. 11 § 1321 | confidence: medium
  [M] DUI First Offense                                  | Del. Code Ann. tit. 21 § 4177 | confidence: needs_review
  [M] DUI Second Offense                                 | Del. Code Ann. tit. 21, § 4177(d)(2) | confidence: needs_review
  [F] DUI Third Offense                                  | Del. Code Ann. tit. 21, § 4177(d)(3) | confidence: needs_review
  [M] Reckless Driving                                   | 21 Del. C. § 4175 | confidence: medium
  [M] Hit and Run                                        | 21 Del. C. § 4202 | confidence: medium
  [M] Driving While Suspended                            | Del. Code Ann. tit. 21, § 2756 | confidence: medium
  [M] Shoplifting (Under $1,000)                         | Del. Code Ann. tit. 11, § 840 | confidence: medium
  [M] DUI - First Offense                                | Del. Code Ann. tit. 21, § 4177 | confidence: needs_review
  [M] Offensive Touching                                 | Del. Code Ann. tit. 11, § 601 | confidence: medium
  [M] Criminal Trespass in the Third Degree              | Del. Code Ann. tit. 11, § 823 | confidence: medium
  [M] Criminal Mischief (Under $1,000)                   | Del. Code Ann. tit. 11, § 811 | confidence: medium
  [M] Possession of Marijuana (Over 1 oz)                | Del. Code Ann. tit. 16, § 4764 | confidence: medium
  [M] Driving While Suspended or Revoked                 | Del. Code Ann. tit. 21, § 2756 | confidence: medium
  [M] Harassment                                         | Del. Code Ann. tit. 11, § 1311 | confidence: medium
  [M] Failure to Appear                                  | Del. Code Ann. tit. 11, § 1271 | confidence: medium
  [M] Probation Violation                                | 11 Del. C. § 4334 | confidence: medium
  [M] Open Container Violation                           | Del. Code Ann. tit. 21, § 4177M | confidence: needs_review
  [M] Minor in Possession of Alcohol                     | Del. Code Ann. tit. 4, § 904 | confidence: medium
  [M] Providing False Information to Police              | Del. Code Ann. tit. 11, § 1243 | confidence: medium
  [M] Contempt of Court                                  | 10 Del. C. § 1161 | confidence: medium
  [M] Writing Bad Checks / Worthless Checks              | Del. Code Ann. tit. 11, § 900 | confidence: medium
  [M] Solicitation / Prostitution                        | Del. Code Ann. tit. 11, § 1342 | confidence: medium
  [M] Driving Without Insurance                          | Del. Code Ann. tit. 21, § 2118A | confidence: medium
  [M] Reckless/Careless Driving (Criminal)               | Del. Code Ann. tit. 21, § 4175 | confidence: medium
  [M] Driving with Expired Registration                  | Del. Code Ann. tit. 21, § 2103 | confidence: medium
  [M] Driving with Expired/No Inspection                 | Del. Code Ann. tit. 21, § 2143 | confidence: medium
  [M] Criminal Nonsupport / Failure to Pay Child Support | Del. Code Ann. tit. 13, § 501 | confidence: medium
  [M] Noise Violation / Disturbing the Peace by Noise    | Del. Code Ann. tit. 11, § 1301(1)(b) | confidence: medium
  [M] Indecent Exposure / Public Urination               | Del. Code Ann. tit. 11, § 765 | confidence: needs_review
  [M] Possession of Fake/Fraudulent ID                   | Del. Code Ann. tit. 4, § 902 | confidence: medium
  [M] Animal at Large / Leash Law Violation              | Del. Code Ann. tit. 7, § 1706 | confidence: medium
  [M] Animal Cruelty (Misdemeanor)                       | Del. Code Ann. tit. 11, § 1325(b) | confidence: medium
  [M] Illegal Camping / Sleeping in Public               | Del. Code Ann. tit. 11, § 820 | confidence: medium
  [M] Panhandling / Aggressive Solicitation              | Del. Code Ann. tit. 11, § 1321 | confidence: medium
  [M] Operating Unregistered / Uninsured Vehicle         | Del. Code Ann. tit. 21, § 2102 | confidence: medium
  [M] Curfew Violation                                   | Del. Code Ann. tit. 10, § 1009 | confidence: medium
  [M] Trespass After Warning / Return After Ban          | Del. Code Ann. tit. 11, § 823 | confidence: medium
  [I] Defective Vehicle Equipment / Broken Taillight     | Del. Code Ann. tit. 21, § 4310 | confidence: medium
  [M] Truancy / Chronic Absenteeism                      | Del. Code Ann. tit. 14, § 2706 | confidence: medium
  [M] Littering / Illegal Dumping                        | Del. Code Ann. tit. 7, § 6307 | confidence: medium
  [M] Illegal Discharge of Fireworks                     | Del. Code Ann. tit. 16, § 7003 | confidence: medium
  [M] Possession of Alcohol in Park / Prohibited Area    | Del. Code Ann. tit. 4, § 907 | confidence: medium
  [M] Fishing / Hunting Without a License                | Del. Code Ann. tit. 7, § 2714 | confidence: medium
  [F] Criminal Attempt                                   | Del. Code Ann. tit. 11, § 531 | confidence: medium
  [F] Aiding and Abetting / Accomplice Liability         | Del. Code Ann. tit. 11, § 271 | confidence: medium
  [F] Accessory After the Fact                           | Del. Code Ann. tit. 11, § 274 | confidence: medium
  [F] Attempted Sexual Assault                           | Del. Code Ann. tit. 11, §§ 531, 771 | confidence: needs_review
  [F] Criminal Street Gang Enhancement                   | Del. Code Ann. tit. 11, § 616 | confidence: medium
  [F] Hate Crime Enhancement                             | Del. Code Ann. tit. 11, § 1304 | confidence: medium
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Del. Code Ann. tit. 11, § 4214 | confidence: medium
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Del. Code Ann. tit. 16, § 4767 | confidence: medium
  [F] RICO / Organized Crime (Racketeering)              | Del. Code Ann. tit. 11, § 1504 | confidence: medium
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Del. Code Ann. tit. 10, § 901(7) | confidence: medium
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Del. Code Ann. tit. 10, § 901(7) | confidence: medium
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Del. Code Ann. tit. 10, § 1010 | confidence: medium

CITATION MISMATCHES — matched charges with differing section numbers:
  Murder in the First Degree                    | ours: 636                | auth: 635
  Vehicular Homicide                            | ours: 630A               | auth: 630
  Felony Murder                                 | ours: 636                | auth: 635
  Assault in the Second Degree                  | ours: 612                | auth: 613
  Assault in the Third Degree                   | ours: 611                | auth: 613
  Assault with Deadly Weapon                    | ours: 613                | auth: 1442
  Rape in the Second Degree                     | ours: 772                | auth: 773
  Sexual Assault in the First Degree            | ours: 773                | auth: 613
  Sexual Assault in the Second Degree           | ours: 768                | auth: 613
  Sexual Assault in the Third Degree            | ours: 770                | auth: 613
  Statutory Rape                                | ours: 770                | auth: 773
  Child Sexual Abuse                            | ours: 778                | auth: 1103C
  Credit Card Fraud                             | ours: 903A               | auth: 903
  Burglary in the Second Degree                 | ours: 825                | auth: 826
  Burglary in the Third Degree                  | ours: 824                | auth: 826
  Commercial Burglary                           | ours: 825                | auth: 826
  Auto Burglary                                 | ours: 824A               | auth: 826
  Robbery in the Second Degree                  | ours: 831                | auth: 832
  Bank Robbery                                  | ours: 831                | auth: 832
  Possession of Drug Paraphernalia              | ours: 4771               | auth: 4756
  Felon in Possession of Firearm                | ours: 1448               | auth: 1457A
  Assault in the Third Degree                   | ours: 611                | auth: 613
  Violation of Protective Order                 | ours: 1076               | auth: 1335
  Harassment / Stalking                         | ours: 1311               | auth: 1312
  Criminal Conspiracy                           | ours: 512                | auth: 513
  Attempted Murder                              | ours: 531                | auth: 635
  Attempted Robbery                             | ours: 531                | auth: 832
  Juvenile Firearm Possession                   | ours: 1448A              | auth: 1462

MISSING FELONIES — in authoritative source but not in our database:
  Abandonment of Child (>= 14 yrs of age)            | Del. Code Ann. tit. 11, § 1101 | Class F Felony (Nonviolent)
  Abandonment of Child (< 14 yrs of age)             | Del. Code Ann. tit. 11, § 1101 | Class E Felony (Nonviolent)
  Abetting Driver's License Violation (Prior Conviction/Death) | Del. Code Ann. tit. 11, § 1249 | Class G Felony (Nonviolent)
  Abuse of Pregnant Female 1st Degree                | Del. Code Ann. tit. 11, § 606 | Class B Felony (Violent)
  Abuse of Pregnant Female 2nd Degree                | Del. Code Ann. tit. 11, § 605 | Class C Felony (Violent)
  Abuse of Sports Official (Prior Conv)              | Del. Code Ann. tit. 11, § 614 | Class G Felony (Violent)
  Abuse of Infirm Adult: Bodily Harm                 | Del. Code Ann. tit. 31, § 3913(c) | Class D Felony (Violent)
  Abuse/Neglect of Infirm Adult: Death               | Del. Code Ann. tit. 31, § 3913(c) | Class A Felony (Violent)
  Abuse/Neglect of patient in Facility               | Del. Code Ann. tit. 16, § 1136(a) | Class C Felony (Violent)
  Abuse/Neglect of Patient: Death                    | Del. Code Ann. tit. 16, § 1136(a) | Class A Felony (Violent)
  Abuse/Neglect of Patient: Sexual Contact           | Del. Code Ann. tit. 16, § 1136(a) | Class G Felony (Violent)
  Act of Intimidation                                | Del. Code Ann. tit. 11, § 3532 | Class D Felony (Nonviolent)
  Adulteration                                       | Del. Code Ann. tit. 11, § 1339 | Class G Felony (Nonviolent)
  Adulteration (Injury/Illness)                      | Del. Code Ann. tit. 11, § 1339 | Class E Felony (Violent)
  Adulteration: Death                                | Del. Code Ann. tit. 11, § 1339 | Class A Felony (Violent)
  Aggravated Criminal Non-Support                    | Del. Code Ann. tit. 11, § 1113(b) | Class G Felony (Nonviolent)
  Aggravated Act of Intimidation                     | Del. Code Ann. tit. 11, § 3533 | Class B Felony (Violent)
  Aggravated Menacing (Display Deadly Weapon)        | Del. Code Ann. tit. 11, § 602(b) | Class E Felony (Violent)
  Aggravated Strangulation                           | Del. Code Ann. tit. 11, § 607A | Class C Felony (Nonviolent)
  Animals: Fighting/Baiting                          | Del. Code Ann. tit. 11, § 1326(a) | Class E Felony (Nonviolent)
  Animals: Fighting/Bating                           | Del. Code Ann. tit. 11, § 1326(b) | Class F Felony (Nonviolent)
  Arson 1st Degree                                   | Del. Code Ann. tit. 11, § 803 | Class C Felony (Violent)
  Arson 2nd Degree                                   | Del. Code Ann. tit. 11, § 802 | Class D Felony (Violent)
  Arson 3rd Degree                                   | Del. Code Ann. tit. 11, § 801 | Class G Felony (Nonviolent)
  Assault 1st Degree on Law Enforc Animal            | Del. Code Ann. tit. 11, § 1250(c) | Class D Felony (Violent)
  Assault in Detention Facility: Serious Injury      | Del. Code Ann. tit. 11, § 1254(b) | Class B Felony (Violent)
  Assault in Detention Facility: Bodily Emissions    | Del. Code Ann. tit. 11, § 1254(c) | Class D Felony (Violent)
  Assault in Detention Facility: Injury              | Del. Code Ann. tit. 11, § 1254(a) | Class D Felony (Violent)
  Background Checks for Child Serving Ents           | Del. Code Ann. tit. 31, § 310(c) | Class G Felony (Nonviolent)
  Benefit by False Representation                    | Del. Code Ann. tit. 31, § 1003 | Class E Felony (Nonviolent)
  Benefit by False Representation >$10,000           | Del. Code Ann. tit. 31, § 1003 | Class C Felony (Nonviolent)
  Bestiality                                         | Del. Code Ann. tit. 11, § 775 | Class D Felony (Violent)
  Bigamy                                             | Del. Code Ann. tit. 11, § 1001 | Class G Felony (Nonviolent)
  Breach of Conditions of Bail                       | Del. Code Ann. tit. 11, § 2109(c)(1) | Class G Felony (Nonviolent)
  Breach of Release Conditions (Felony/Prior Conviction Crime) | Del. Code Ann. tit. 11, § 2113(c)(1) | Class G Felony (Nonviolent)
  Bribery of a Juror                                 | Del. Code Ann. tit. 11, § 1264 | Class E Felony (Nonviolent)
  Bribery of a Public Servant                        | Del. Code Ann. tit. 11, § 1201 | Class E Felony (Nonviolent)
  Bribery of a Witness                               | Del. Code Ann. tit. 11, § 1261 | Class E Felony (Nonviolent)
  Burglary 1st Degree Home Invasion                  | Del. Code Ann. tit. 11, § 826(b) | Class C Felony (Violent)
  Carry Concealed Deadly Weapon (Firearm)            | Del. Code Ann. tit. 11, § 1442 | Class D Felony (Violent)
  ... and 273 more felonies

MISSING MISDEMEANORS — in authoritative source but not in our database (sample):

======================================================================
KS
======================================================================
Our entries:            128
Authoritative entries:  926
Matched:                6 (4%)
Unmatched (phantom?):   122
Missing from ours:      920
Citation mismatches:    4

UNMATCHED — charges we have with no authoritative match:
  [F] Murder in the First Degree                         | Kan. Stat. Ann. § 21-5402 | confidence: needs_review
  [F] Murder in the Second Degree                        | Kan. Stat. Ann. § 21-5403 | confidence: needs_review
  [F] Voluntary Manslaughter                             | Kan. Stat. Ann. § 21-5404 | confidence: needs_review
  [F] Criminally Negligent Homicide                      | Kan. Stat. Ann. § 21-5406 | confidence: needs_review
  [F] Vehicular Homicide                                 | Kan. Stat. Ann. § 21-5406 | confidence: needs_review
  [F] Felony Murder                                      | Kan. Stat. Ann. § 21-5402 | confidence: needs_review
  [F] Assault in the First Degree                        | Kan. Stat. Ann. § 21-5413(b)(1)(A) | confidence: needs_review
  [F] Assault in the Second Degree                       | Kan. Stat. Ann. § 21-5413(a) | confidence: needs_review
  [M] Assault in the Third Degree                        | Kan. Stat. Ann. § 21-5412 | confidence: needs_review
  [M] Domestic Violence Assault                          | Kan. Stat. Ann. § 21-5414 | confidence: needs_review
  [F] Assault on Peace Officer                           | Kan. Stat. Ann. § 21-5413(c)(1) | confidence: needs_review
  [M] Menacing                                           | Kan. Stat. Ann. § 21-5415 | confidence: medium
  [F] Rape in the First Degree                           | Kan. Stat. Ann. § 21-5503 | confidence: needs_review
  [F] Rape in the Second Degree                          | Kan. Stat. Ann. § 21-5503 | confidence: needs_review
  [F] Sexual Assault in the First Degree                 | Kan. Stat. Ann. § 21-5503 | confidence: needs_review
  [F] Sexual Assault in the Second Degree                | Kan. Stat. Ann. § 21-5504 | confidence: needs_review
  [F] Sexual Assault in the Third Degree                 | Kan. Stat. Ann. § 21-5505 | confidence: needs_review
  [F] Statutory Rape                                     | Kan. Stat. Ann. § 21-5507 | confidence: needs_review
  [F] Child Sexual Abuse                                 | Kan. Stat. Ann. § 21-5506 | confidence: needs_review
  [F] Sexual Exploitation of Minor                       | Kan. Stat. Ann. § 21-5510 | confidence: needs_review
  [F] Grand Theft in the First Degree                    | Kan. Stat. Ann. § 21-5801 | confidence: medium
  [F] Grand Theft in the Second Degree                   | Kan. Stat. Ann. § 21-5801 | confidence: medium
  [M] Petty Theft                                        | Kan. Stat. Ann. § 21-5801 | confidence: medium
  [M] Theft by Receiving                                 | Kan. Stat. Ann. § 21-5801(a)(4) | confidence: medium
  [F] Identity Theft                                     | Kan. Stat. Ann. § 21-6107 | confidence: medium
  [F] Credit Card Fraud                                  | Kan. Stat. Ann. § 21-5828 | confidence: medium
  [F] Embezzlement                                       | Kan. Stat. Ann. § 21-5801(a)(4) | confidence: medium
  [M] Shoplifting                                        | Kan. Stat. Ann. § 21-5801 | confidence: medium
  [F] Burglary in the First Degree                       | Kan. Stat. Ann. § 21-5807(a)(1) | confidence: medium
  [F] Burglary in the Second Degree                      | Kan. Stat. Ann. § 21-5807(a)(2) | confidence: medium
  [F] Residential Burglary                               | Kan. Stat. Ann. § 21-5807(a)(1) | confidence: medium
  [F] Commercial Burglary                                | Kan. Stat. Ann. § 21-5807(a)(2) | confidence: medium
  [F] Auto Burglary                                      | Kan. Stat. Ann. § 21-5807(b) | confidence: medium
  [F] Robbery in the First Degree                        | Kan. Stat. Ann. § 21-5421 | confidence: medium
  [F] Robbery in the Second Degree                       | Kan. Stat. Ann. § 21-5420 | confidence: medium
  [F] Carjacking                                         | Kan. Stat. Ann. § 21-5422 | confidence: medium
  [F] Bank Robbery                                       | Kan. Stat. Ann. § 21-5420 | confidence: medium
  [M] Possession of Controlled Substance                 | Kan. Stat. Ann. § 21-5706 | confidence: medium
  [F] Possession with Intent to Distribute               | Kan. Stat. Ann. § 21-5705 | confidence: needs_review
  [F] Distribution of Controlled Substance               | Kan. Stat. Ann. § 21-5705 | confidence: needs_review
  [F] Manufacturing Controlled Substance                 | Kan. Stat. Ann. § 21-5703 | confidence: needs_review
  [F] Drug Trafficking                                   | Kan. Stat. Ann. § 21-5703 | confidence: needs_review
  [F] Maintaining Drug House                             | Kan. Stat. Ann. § 21-5710 | confidence: medium
  [M] Unlawful Carrying of Weapon                        | Kan. Stat. Ann. § 21-6302 | confidence: medium
  [F] Felon in Possession of Firearm                     | Kan. Stat. Ann. § 21-6304 | confidence: medium
  [F] Discharge of Firearm in City                       | Kan. Stat. Ann. § 21-6308 | confidence: medium
  [F] Possession of Prohibited Weapon                    | Kan. Stat. Ann. § 21-6301 | confidence: medium
  [F] Wire Fraud                                         | Kan. Stat. Ann. § 21-5801(a)(2) | confidence: medium
  [F] Mail Fraud                                         | Kan. Stat. Ann. § 21-5843 | confidence: medium
  [F] Check Fraud                                        | Kan. Stat. Ann. § 21-5821 | confidence: medium
  [F] Insurance Fraud                                    | Kan. Stat. Ann. § 40-2,118 | confidence: medium
  [F] Tax Fraud                                          | Kan. Stat. Ann. § 79-3240 | confidence: medium
  [F] Forgery                                            | Kan. Stat. Ann. § 21-5823 | confidence: medium
  [F] Computer Fraud                                     | Kan. Stat. Ann. § 21-5839 | confidence: medium
  [M] Disorderly Conduct                                 | Kan. Stat. Ann. § 21-6203 | confidence: medium
  [M] Public Intoxication                                | Kan. Stat. Ann. § 21-6206 | confidence: medium
  [M] Disturbing the Peace                               | Kan. Stat. Ann. § 21-6203 | confidence: medium
  [M] Trespassing                                        | Kan. Stat. Ann. § 21-5808 | confidence: medium
  [M] Vandalism                                          | Kan. Stat. Ann. § 21-5813 | confidence: medium
  [M] Loitering                                          | Kan. Stat. Ann. § 21-6204 | confidence: medium
  [M] DUI First Offense                                  | Kan. Stat. Ann. § 8-1567 | confidence: high
  [M] DUI Second Offense                                 | Kan. Stat. Ann. § 8-1567(b)(2) | confidence: high
  [F] DUI Third Offense                                  | Kan. Stat. Ann. § 8-1567(b)(3) | confidence: high
  [M] Reckless Driving                                   | Kan. Stat. Ann. § 8-1566 | confidence: medium
  [M] Hit and Run                                        | Kan. Stat. Ann. § 8-1601 | confidence: medium
  [M] Driving While Suspended                            | Kan. Stat. Ann. § 8-262 | confidence: medium
  [M] Theft (Class A Misdemeanor)                        | Kan. Stat. Ann. § 21-5801 | confidence: medium
  [M] DUI - First Offense                                | Kan. Stat. Ann. § 8-1567(a) | confidence: high
  [M] Battery                                            | Kan. Stat. Ann. § 21-5413 | confidence: needs_review
  [M] Domestic Battery                                   | Kan. Stat. Ann. § 21-5414 | confidence: needs_review
  [M] Criminal Trespass                                  | Kan. Stat. Ann. § 21-5808 | confidence: medium
  [M] Criminal Damage to Property                        | Kan. Stat. Ann. § 21-5813 | confidence: medium
  [M] Probation Violation                                | Kan. Stat. Ann. § 22-3716 | confidence: medium
  [M] Resisting Arrest / Obstruction                     | Kan. Stat. Ann. § 21-5414 | confidence: medium
  [M] Violation of Protective Order                      | Kan. Stat. Ann. § 21-5924 | confidence: medium
  [M] Open Container Violation                           | Kan. Stat. Ann. § 8-1599 | confidence: needs_review
  [M] Minor in Possession of Alcohol                     | Kan. Stat. Ann. § 41-727 | confidence: medium
  [M] Providing False Information to Police              | Kan. Stat. Ann. § 21-5904(a)(3) | confidence: medium
  [M] Harassment / Stalking                              | Kan. Stat. Ann. § 21-6101 | confidence: medium
  [M] Contempt of Court                                  | Kan. Stat. Ann. § 20-1204a | confidence: medium
  [M] Writing Bad Checks / Worthless Checks              | Kan. Stat. Ann. § 21-5821 | confidence: medium
  [M] Solicitation / Prostitution                        | Kan. Stat. Ann. § 21-6421 | confidence: medium
  [M] Driving Without Insurance                          | Kan. Stat. Ann. § 40-3104 | confidence: medium
  [M] Reckless/Careless Driving (Criminal)               | Kan. Stat. Ann. § 8-1566 | confidence: medium
  [M] Driving with Expired Registration                  | Kan. Stat. Ann. § 8-135 | confidence: medium
  [M] Driving with Expired/No Inspection                 | Kan. Stat. Ann. § 8-1749 | confidence: medium
  [M] Criminal Nonsupport / Failure to Pay Child Support | Kan. Stat. Ann. § 21-5606 | confidence: medium
  [M] Noise Violation / Disturbing the Peace by Noise    | Kan. Stat. Ann. § 21-6203(a)(2) | confidence: medium
  [M] Indecent Exposure / Public Urination               | Kan. Stat. Ann. § 21-6401 | confidence: needs_review
  [M] Possession of Fake/Fraudulent ID                   | Kan. Stat. Ann. § 41-715 | confidence: medium
  [M] Animal at Large / Leash Law Violation              | Kan. Stat. Ann. § 47-646 | confidence: medium
  [M] Animal Cruelty (Misdemeanor)                       | Kan. Stat. Ann. § 21-6412 | confidence: medium
  [M] Illegal Camping / Sleeping in Public               | Kan. Stat. Ann. § 21-5808 | confidence: medium
  [M] Panhandling / Aggressive Solicitation              | Kan. Stat. Ann. § 21-6203 | confidence: medium
  [M] Operating Unregistered / Uninsured Vehicle         | Kan. Stat. Ann. § 8-135 | confidence: medium
  [M] Curfew Violation                                   | Kan. Stat. Ann. § 38-2303 | confidence: medium
  [M] Trespass After Warning / Return After Ban          | Kan. Stat. Ann. § 21-5808 | confidence: medium
  [I] Defective Vehicle Equipment / Broken Taillight     | Kan. Stat. Ann. § 8-1701 | confidence: medium
  [M] Truancy / Chronic Absenteeism                      | Kan. Stat. Ann. § 72-3122 | confidence: medium
  [M] Littering / Illegal Dumping                        | Kan. Stat. Ann. § 21-6107 | confidence: medium
  [M] Illegal Discharge of Fireworks                     | Kan. Stat. Ann. § 31-157 | confidence: medium
  [M] Possession of Alcohol in Park / Prohibited Area    | Kan. Stat. Ann. § 41-719 | confidence: medium
  [M] Fishing / Hunting Without a License                | Kan. Stat. Ann. § 32-1005 | confidence: medium
  [F] Criminal Attempt                                   | Kan. Stat. Ann. § 21-5301 | confidence: medium
  [F] Criminal Conspiracy                                | Kan. Stat. Ann. § 21-5302 | confidence: medium
  [F] Aiding and Abetting / Accomplice Liability         | Kan. Stat. Ann. § 21-5210 | confidence: medium
  [F] Accessory After the Fact                           | Kan. Stat. Ann. § 21-5212 | confidence: medium
  [F] Attempted Murder                                   | Kan. Stat. Ann. §§ 21-5301, 21-5402 | confidence: high
  [F] Attempted Robbery                                  | Kan. Stat. Ann. §§ 21-5301, 21-5420 | confidence: medium
  [F] Attempted Sexual Assault                           | Kan. Stat. Ann. §§ 21-5301, 21-5503 | confidence: high
  [F] Criminal Solicitation                              | Kan. Stat. Ann. § 21-5303 | confidence: medium
  [F] Criminal Street Gang Enhancement                   | Kan. Stat. Ann. § 21-6422 | confidence: medium
  [F] Hate Crime Enhancement                             | Kan. Stat. Ann. § 21-6815 | confidence: medium
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Kan. Stat. Ann. § 21-6804 | confidence: medium
  [F] Use of a Firearm in Commission of a Felony         | Kan. Stat. Ann. § 21-6811 | confidence: medium
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Kan. Stat. Ann. § 21-5709 | confidence: medium
  [F] RICO / Organized Crime (Racketeering)              | Kan. Stat. Ann. § 21-6329 | confidence: medium
  [F] Money Laundering                                   | Kan. Stat. Ann. § 21-6404 | confidence: medium
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Kan. Stat. Ann. § 38-2302(f) | confidence: medium
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Kan. Stat. Ann. § 38-2302(f) | confidence: medium
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Kan. Stat. Ann. § 38-2347 | confidence: medium
  [F] Juvenile Firearm Possession                        | Kan. Stat. Ann. § 21-6301 | confidence: medium

CITATION MISMATCHES — matched charges with differing section numbers:
  Assault with Deadly Weapon                    | ours: 21-5413            | auth: 21-5412
  Possession of Drug Paraphernalia              | ours: 21-5709            | auth: 21-6414
  Possession of Marijuana                       | ours: 21-5706            | auth: 21-6408
  Failure to Appear                             | ours: 21-5915            | auth: 21-5935

MISSING FELONIES — in authoritative source but not in our database:
  Murder; 1st Degree; intentionally and with premeditation | K.S.A. § 21-5402(a)(1) | Felony severity Off-grid
  Murder; 1st Degree; in the commission of, attempt to commit, or flight from an inherently dangerous felony as defined in K.S.A. 21-3436 | K.S.A. § 21-5402(a)(2) | Felony severity Off-grid
  Murder; 2nd Degree; intentional killing            | K.S.A. § 21-5403(a)(1) | Felony severity 1
  Murder; 2nd Degree; unintentionally but recklessly, under circumstances manifesting extreme indifference to human life | K.S.A. § 21-5403(a)(2) | Felony severity 2
  Voluntary Manslaughter; Knowingly killing upon sudden quarrel or in heat of passion | K.S.A. § 21-5404(a)(1) | Felony severity 3
  Voluntary Manslaughter; Knowingly killing upon unreasonable but honest belief that deadly force was justified | K.S.A. § 21-5404(a)(2) | Felony severity 3
  Involuntary Manslaughter; In the commission, attempted commission, or flight from other felonies excluding DUI | K.S.A. § 21-5405(a)(2) | Felony severity 5
  Involuntary Manslaughter; In commission of lawful act in unlawful manner | K.S.A. § 21-5405(a)(4) | Felony severity 5
  Assisting Suicide; Knowingly, by force or duress, causing another to commit or attempt to commit suicide | K.S.A. § 21-5407(a)(1) | Felony severity 3
  Assisting Suicide; Intentionally providing the physical means by which another commits or attempts to commit suicide | K.S.A. § 21-5407(a)(2)(A) | Felony severity 9
  Assisting Suicide; Intentionally participating in a physical act by which another commits or attempts to commit suicide | K.S.A. § 21-5407(a)(2)(B) | Felony severity 9
  Aggravated Assault; While disguised in any manner designed to conceal identity | K.S.A. § 21-5412(b)(2) | Felony severity 7
  Aggravated Assault; With intent to commit any felony | K.S.A. § 21-5412(b)(3) | Felony severity 7
  Aggravated Assault; On a state, county, city, university or campus law enforcement officer while disguised in any manner designed to conceal identity | K.S.A. § 21-5412(d)(2) | Felony severity 6
